Row.names	Phylum	Class	Order	Family	Genus	Species	Confidence	ASVnos
723da21608bd99053f0780581a628477	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	 g__Coprococcus	0.8462475	ASV3002
96d50fb1c31dc47b1c8f4d9d0a9e0809	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	 g__Porphyromonas	0.9999979	ASV3003
4c07680f1a7e240387b3deb5eb5bf57f	Tenericutes	Mollicutes	RF39	 o__RF39	 o__RF39	 o__RF39	1	ASV3004
6874507de91c6dd21fe722c27028a5bf	Synergistetes	Synergistia	Synergistales	Dethiosulfovibrionaceae	Pyramidobacter	 g__Pyramidobacter	0.9086256	ASV3005
7c7384a220cb5b0b2e2bb981319fdae7	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	 f__Succinivibrionaceae	 f__Succinivibrionaceae	0.7320629	ASV3006
7ed4e59df53d38e0f5afc0d128a32553	Firmicutes	Bacilli	Bacillales	Planococcaceae	Bacillus	 s__psychrotolerans	0.8254146	ASV3007
7f2fbf0a4a941c100f116d08ca48037f	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9975249	ASV3008
7c13662652f37fff4240f9dd0369b248	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9498615	ASV3009
c836a9ed5db496875591a585a2c0e5fc	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.9733065	ASV301
21d4ade7a0ee30348db04fe82665eb34	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	 f__Enterococcaceae	 f__Enterococcaceae	0.8189419	ASV3010
4b10a2ef8335e5e637888c73c2013eb4	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9998536	ASV3011
5c39401cf2d5e2ba79a80eb29c0189e7	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	1	ASV3012
43fc3e9d55ea1e512e2a53b879a26f68	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	 s__dispar	0.9409859	ASV3013
47d598aa442ba7da9d7f8d60688b38ef	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9958849	ASV3014
4864bc15d045f8c10c7e01f2d99121de	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.9961685	ASV3015
c47326315c6a8204be4b00a36f43610f	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.9991006	ASV3016
50fb7dc74e34aedb7d921f7bfc82465f	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	 g__Coprococcus	0.7702056	ASV3017
93ced12514767a9247b54f1d0e055caa	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9909904	ASV3018
59ef71b2b121cc5e03e5f5e9ca63375d	Tenericutes	Mollicutes	RF39	 o__RF39	 o__RF39	 o__RF39	1	ASV3019
